Year,Country,Temperature,SeaLevel,AgriculturalYield,,
2006,ARG,0.201,89.1,34.6,,
2007,ARG,0.371,89.1,34.6,,
2008,ARG,0.236,89.1,34.6,,
2009,ARG,0.217,89.1,34.6,,
2010,ARG,0.195,89.1,34.6,,
2011,ARG,0.132,89.1,34.6,,
2012,ARG,0.198,89.1,34.6,,
2013,ARG,0.217,89.1,34.6,,
2014,ARG,0.46,89.1,34.6,,
2015,ARG,0.34,89.1,34.6,,
2016,ARG,0.256,89.1,34.6,,
2017,ARG,0.165,89.1,34.6,,
2018,ARG,0.134,89.1,34.6,,
2019,ARG,0.157,89.1,34.6,,
2020,ARG,0.306,89.1,34.6,,
2021,ARG,0.198,89.1,34.6,,
2022,ARG,0.212,89.1,34.6,,
2023,ARG,0.225,89.1,34.6,,
2024,ARG,0.183,89.1,34.6,,
2025,ARG,0.212,89.1,34.6,,
1990,BGD,0.282,89.1,34.6,,
1991,BGD,0.118,89.1,34.6,,
1992,BGD,0.318,89.1,34.6,,
1993,BGD,0.121,89.1,34.6,,
1994,BGD,0.183,89.1,34.6,,
1995,BGD,0.376,89.1,34.6,,
1996,BGD,0.193,89.1,34.6,,
1997,BGD,0.104,89.1,34.6,,
1998,BGD,0.225,89.1,34.6,,
1999,BGD,0.229,89.1,34.6,,
2000,BGD,0.255,89.1,34.6,,
2001,BGD,0.228,89.1,34.6,,
2002,BGD,0.269,89.1,34.6,,
2003,BGD,0.196,89.1,34.6,,
2004,BGD,0.282,89.1,34.6,,
2005,BGD,0.235,89.1,34.6,,
2006,BGD,0.17,89.1,34.6,,
2007,BGD,0.229,89.1,34.6,,
2008,BGD,0.303,89.1,34.6,,
2009,BGD,0.337,89.1,34.6,,
2010,BGD,0.22,89.1,34.6,,
2011,BGD,0.292,89.1,34.6,,
2012,BGD,0.299,89.1,34.6,,
2013,BGD,0.173,89.1,34.6,,
2014,BGD,0.214,89.1,34.6,,
2015,BGD,0.196,89.1,34.6,,
2016,BGD,0.267,89.1,34.6,,
2017,BGD,0.24,89.1,34.6,,
2018,BGD,0.16,89.1,34.6,,
2019,BGD,0.228,89.1,34.6,,
2020,BGD,0.254,89.1,34.6,,
2021,BGD,0.163,89.1,34.6,,
2022,BGD,0.286,89.1,34.6,,
2023,BGD,0.238,89.1,34.6,,
2024,BGD,0.222,89.1,34.6,,
2025,BGD,0.198,89.1,34.6,,
1990,BRA,0.169,89.1,34.6,,
1991,BRA,0.16,89.1,34.6,,
1992,BRA,0.155,89.1,34.6,,
1993,BRA,0.164,89.1,34.6,,
1994,BRA,0.183,89.1,34.6,,
1995,BRA,0.154,89.1,34.6,,
1996,BRA,0.283,89.1,34.6,,
1997,BRA,0.195,89.1,34.6,,
1998,BRA,0.202,89.1,34.6,,
1999,BRA,0.134,89.1,34.6,,
2000,BRA,0.222,89.1,34.6,,
2001,BRA,0.232,89.1,34.6,,
2002,BRA,0.279,89.1,34.6,,
2003,BRA,0.177,89.1,34.6,,
2004,BRA,0.26,89.1,34.6,,
2005,BRA,0.26,89.1,34.6,,
2006,BRA,0.149,89.1,34.6,,
2007,BRA,0.223,89.1,34.6,,
2008,BRA,0.231,89.1,34.6,,
2009,BRA,0.206,89.1,34.6,,
2010,BRA,0.285,89.1,34.6,,
2011,BRA,0.169,89.1,34.6,,
2012,BRA,0.268,89.1,34.6,,
2013,BRA,0.412,89.1,34.6,,
2014,BRA,0.252,89.1,34.6,,
2015,BRA,0.241,89.1,34.6,,
2016,BRA,0.248,89.1,34.6,,
2017,BRA,0.19,89.1,34.6,,
2018,BRA,0.254,89.1,34.6,,
2019,BRA,0.187,89.1,34.6,,
2020,BRA,0.268,89.1,34.6,,
2021,BRA,0.15,89.1,34.6,,
2022,BRA,0.258,89.1,34.6,,
2023,BRA,0.174,89.1,34.6,,
2024,BRA,0.308,89.1,34.6,,
2025,BRA,0.167,89.1,34.6,,
1990,SAU,0.22,89.1,34.6,,
1991,SAU,0.2,89.1,34.6,,
1992,SAU,0.2,89.1,34.6,,
1993,SAU,0.249,89.1,34.6,,
1994,SAU,0.236,89.1,34.6,,
1995,SAU,0.208,89.1,34.6,,
1996,SAU,0.198,89.1,34.6,,
1997,SAU,0.12,89.1,34.6,,
1998,SAU,0.162,89.1,34.6,,
1999,SAU,0.197,89.1,34.6,,
2000,SAU,0.198,89.1,34.6,,
2001,SAU,0.187,89.1,34.6,,
2002,SAU,0.209,89.1,34.6,,
2003,SAU,0.181,89.1,34.6,,
2004,SAU,0.214,89.1,34.6,,
2005,SAU,0.25,89.1,34.6,,
2006,SAU,0.202,89.1,34.6,,
2007,SAU,0.142,89.1,34.6,,
2008,SAU,0.192,89.1,34.6,,
2009,SAU,0.145,89.1,34.6,,
2010,SAU,0.21,89.1,34.6,,
2011,SAU,0.128,89.1,34.6,,
2012,SAU,0.173,89.1,34.6,,
2013,SAU,0.185,89.1,34.6,,
2014,SAU,0.261,89.1,34.6,,
2015,SAU,0.171,89.1,34.6,,
2016,SAU,0.271,89.1,34.6,,
2017,SAU,0.293,89.1,34.6,,
2018,SAU,0.127,89.1,34.6,,
2019,SAU,0.213,89.1,34.6,,
2020,SAU,0.214,89.1,34.6,,
2021,SAU,0.121,89.1,34.6,,
2022,SAU,0.111,89.1,34.6,,
2023,SAU,0.148,89.1,34.6,,
2024,SAU,0.173,89.1,34.6,,
2025,SAU,0.286,89.1,34.6,,
1990,PER,0.276,89.1,34.6,,
1991,PER,0.179,89.1,34.6,,
1992,PER,0.284,89.1,34.6,,
1993,PER,0.156,89.1,34.6,,
1994,PER,0.189,89.1,34.6,,
1995,PER,0.198,89.1,34.6,,
1996,PER,0.253,89.1,34.6,,
1997,PER,0.277,89.1,34.6,,
1998,PER,0.2,89.1,34.6,,
1999,PER,0.182,89.1,34.6,,
2000,PER,0.14,89.1,34.6,,
2001,PER,0.173,89.1,34.6,,
2002,PER,0.189,89.1,34.6,,
2003,PER,0.146,89.1,34.6,,
2004,PER,0.182,89.1,34.6,,
2005,PER,0.137,89.1,34.6,,
2006,PER,0.14,89.1,34.6,,
2007,PER,0.218,89.1,34.6,,
2008,PER,0.18,89.1,34.6,,
2009,PER,0.132,89.1,34.6,,
2010,PER,0.191,89.1,34.6,,
2011,PER,0.182,89.1,34.6,,
2012,PER,0.244,89.1,34.6,,
2013,PER,0.184,89.1,34.6,,
2014,PER,0.211,89.1,34.6,,
2015,PER,0.227,89.1,34.6,,
2016,PER,0.271,89.1,34.6,,
2017,PER,0.256,89.1,34.6,,
2018,PER,0.131,89.1,34.6,,
2019,PER,0.133,89.1,34.6,,
2020,PER,0.213,89.1,34.6,,
2021,PER,0.182,89.1,34.6,,
2022,PER,0.151,89.1,34.6,,
2023,PER,0.184,89.1,34.6,,
2024,PER,0.162,89.1,34.6,,
2025,PER,0.225,89.1,34.6,,
1990,ZAF,0.191,89.1,34.6,,
1991,ZAF,0.178,89.1,34.6,,
1992,ZAF,0.258,89.1,34.6,,
1993,ZAF,0.195,89.1,34.6,,
1994,ZAF,0.207,89.1,34.6,,
1995,ZAF,0.206,89.1,34.6,,
1996,ZAF,0.258,89.1,34.6,,
1997,ZAF,0.241,89.1,34.6,,
1998,ZAF,0.135,89.1,34.6,,
1999,ZAF,0.228,89.1,34.6,,
2000,ZAF,0.215,89.1,34.6,,
2001,ZAF,0.221,89.1,34.6,,
2002,ZAF,0.194,89.1,34.6,,
2003,ZAF,0.166,89.1,34.6,,
2004,ZAF,0.258,89.1,34.6,,
2005,ZAF,0.231,89.1,34.6,,
2006,ZAF,0.165,89.1,34.6,,
2007,ZAF,0.218,89.1,34.6,,
2008,ZAF,0.268,89.1,34.6,,
2009,ZAF,0.202,89.1,34.6,,
2010,ZAF,0.184,89.1,34.6,,
2011,ZAF,0.164,89.1,34.6,,
2012,ZAF,0.185,89.1,34.6,,
2013,ZAF,0.157,89.1,34.6,,
2014,ZAF,0.267,89.1,34.6,,
2015,ZAF,0.143,89.1,34.6,,
2016,ZAF,0.18,89.1,34.6,,
2017,ZAF,0.212,89.1,34.6,,
2018,ZAF,0.143,89.1,34.6,,
2019,ZAF,0.153,89.1,34.6,,
2020,ZAF,0.288,89.1,34.6,,
2021,ZAF,0.232,89.1,34.6,,
2022,ZAF,0.209,89.1,34.6,,
2023,ZAF,0.32,89.1,34.6,,
2024,ZAF,0.17,89.1,34.6,,
2025,ZAF,0.184,89.1,34.6,,
1990,IRN,0.219,89.1,34.6,,
1991,IRN,0.251,89.1,34.6,,
1992,IRN,0.246,89.1,34.6,,
1993,IRN,0.211,89.1,34.6,,
1994,IRN,0.255,89.1,34.6,,
1995,IRN,0.347,89.1,34.6,,
1996,IRN,0.3,89.1,34.6,,
1997,IRN,0.354,89.1,34.6,,
1998,IRN,0.237,89.1,34.6,,
1999,IRN,0.291,89.1,34.6,,
2000,IRN,0.125,89.1,34.6,,
2001,IRN,0.18,89.1,34.6,,
2002,IRN,0.363,89.1,34.6,,
2003,IRN,0.134,89.1,34.6,,
2004,IRN,0.231,89.1,34.6,,
2005,IRN,0.244,89.1,34.6,,
2006,IRN,0.235,89.1,34.6,,
2007,IRN,0.332,89.1,34.6,,
2008,IRN,0.21,89.1,34.6,,
2009,IRN,0.219,89.1,34.6,,
2010,IRN,0.192,89.1,34.6,,
2011,IRN,0.254,89.1,34.6,,
2012,IRN,0.145,89.1,34.6,,
2013,IRN,0.175,89.1,34.6,,
2014,IRN,0.182,89.1,34.6,,
2015,IRN,0.22,89.1,34.6,,
2016,IRN,0.299,89.1,34.6,,
2017,IRN,0.21,89.1,34.6,,
2018,IRN,0.206,89.1,34.6,,
2019,IRN,0.246,89.1,34.6,,
2020,IRN,0.234,89.1,34.6,,
2021,IRN,0.11,89.1,34.6,,
2022,IRN,0.149,89.1,34.6,,
2023,IRN,0.187,89.1,34.6,,
2024,IRN,0.249,89.1,34.6,,
2025,IRN,0.218,89.1,34.6,,
1990,KAZ,0.263,89.1,34.6,,
1991,KAZ,0.25,89.1,34.6,,
1992,KAZ,0.277,89.1,34.6,,
1993,KAZ,0.247,89.1,34.6,,
1994,KAZ,0.222,89.1,34.6,,
1995,KAZ,0.231,89.1,34.6,,
1996,KAZ,0.301,89.1,34.6,,
1997,KAZ,0.336,89.1,34.6,,
1998,KAZ,0.21,89.1,34.6,,
1999,KAZ,0.172,89.1,34.6,,
2000,KAZ,0.208,89.1,34.6,,
2001,KAZ,0.26,89.1,34.6,,
2002,KAZ,0.186,89.1,34.6,,
2003,KAZ,0.528,89.1,34.6,,
2004,KAZ,0.184,89.1,34.6,,
2005,KAZ,0.229,89.1,34.6,,
2006,KAZ,0.111,89.1,34.6,,
2007,KAZ,0.199,89.1,34.6,,
2008,KAZ,0.225,89.1,34.6,,
2009,KAZ,0.155,89.1,34.6,,
2010,KAZ,0.249,89.1,34.6,,
2011,KAZ,0.157,89.1,34.6,,
2012,KAZ,0.216,89.1,34.6,,
2013,KAZ,0.155,89.1,34.6,,
2014,KAZ,0.189,89.1,34.6,,
2015,KAZ,0.145,89.1,34.6,,
2016,KAZ,0.199,89.1,34.6,,
2017,KAZ,0.177,89.1,34.6,,
2018,KAZ,0.187,89.1,34.6,,
2019,KAZ,0.245,89.1,34.6,,
2020,KAZ,0.19,89.1,34.6,,
2021,KAZ,0.294,89.1,34.6,,
2022,KAZ,0.247,89.1,34.6,,
2023,KAZ,0.191,89.1,34.6,,
2024,KAZ,0.194,89.1,34.6,,
2025,KAZ,0.19,89.1,34.6,,
1990,THA,0.271,89.1,34.6,,
1991,THA,0.236,89.1,34.6,,
1992,THA,0.222,89.1,34.6,,
1993,THA,0.24,89.1,34.6,,
1994,THA,0.162,89.1,34.6,,
1995,THA,0.207,89.1,34.6,,
1996,THA,0.36,89.1,34.6,,
1997,THA,0.208,89.1,34.6,,
1998,THA,0.194,89.1,34.6,,
1999,THA,0.145,89.1,34.6,,
2000,THA,0.261,89.1,34.6,,
2001,THA,0.251,89.1,34.6,,
2002,THA,0.384,89.1,34.6,,
2003,THA,0.233,89.1,34.6,,
2004,THA,0.222,89.1,34.6,,
2005,THA,0.256,89.1,34.6,,
2006,THA,0.271,89.1,34.6,,
2007,THA,0.226,89.1,34.6,,
2008,THA,0.254,89.1,34.6,,
2009,THA,0.274,89.1,34.6,,
2010,THA,0.245,89.1,34.6,,
2011,THA,0.129,89.1,34.6,,
2012,THA,0.206,89.1,34.6,,
2013,THA,0.3,89.1,34.6,,
2014,THA,0.329,89.1,34.6,,
2015,THA,0.243,89.1,34.6,,
2016,THA,0.208,89.1,34.6,,
2017,THA,0.239,89.1,34.6,,
2018,THA,0.207,89.1,34.6,,
2019,THA,0.233,89.1,34.6,,
2020,THA,0.272,89.1,34.6,,
2021,THA,0.169,89.1,34.6,,
2022,THA,0.165,89.1,34.6,,
2023,THA,0.22,89.1,34.6,,
2024,THA,0.235,89.1,34.6,,
2025,THA,0.355,89.1,34.6,,
1990,MEX,0.418,89.1,34.6,,
1991,MEX,0.211,89.1,34.6,,
1992,MEX,0.265,89.1,34.6,,
1993,MEX,0.308,89.1,34.6,,
1994,MEX,0.253,89.1,34.6,,
1995,MEX,0.379,89.1,34.6,,
1996,MEX,0.316,89.1,34.6,,
1997,MEX,0.311,89.1,34.6,,
1998,MEX,0.249,89.1,34.6,,
1999,MEX,0.3,89.1,34.6,,
2000,MEX,0.273,89.1,34.6,,
2001,MEX,0.312,89.1,34.6,,
2002,MEX,0.529,89.1,34.6,,
2003,MEX,0.385,89.1,34.6,,
2004,MEX,0.404,89.1,34.6,,
2005,MEX,0.346,89.1,34.6,,
2006,MEX,0.272,89.1,34.6,,
2007,MEX,0.312,89.1,34.6,,
2008,MEX,0.388,89.1,34.6,,
2009,MEX,0.237,89.1,34.6,,
2010,MEX,,89.1,34.6,,
2011,MEX,1.919,89.1,34.6,,
2012,MEX,,89.1,34.6,,
2013,MEX,,89.1,34.6,,
2014,MEX,,89.1,34.6,,
2015,MEX,,89.1,34.6,,
2016,MEX,2.585,89.1,34.6,,
2017,MEX,1.688,89.1,34.6,,
2018,MEX,1.765,89.1,34.6,,
2019,MEX,1.859,89.1,34.6,,
2020,MEX,,89.1,34.6,,
2021,MEX,1.881,89.1,34.6,,
2022,MEX,1.869,89.1,34.6,,
2023,MEX,1.727,89.1,34.6,,
2024,MEX,1.91,89.1,34.6,,
2025,MEX,1.909,89.1,34.6,,
1990,PRY,1.702,89.1,34.6,,
1991,PRY,1.58,89.1,34.6,,
1992,PRY,1.601,89.1,34.6,,
1993,PRY,,89.1,34.6,,
1994,PRY,,89.1,34.6,,
1995,PRY,,89.1,34.6,,
1996,PRY,,89.1,34.6,,
1997,PRY,,89.1,34.6,,
1998,PRY,,89.1,34.6,,
1999,PRY,,89.1,34.6,,
2000,PRY,,89.1,34.6,,
2001,PRY,,89.1,34.6,,
2002,PRY,,89.1,34.6,,
2003,PRY,,89.1,34.6,,
2004,PRY,,89.1,34.6,,
2005,PRY,,89.1,34.6,,
2006,PRY,,89.1,34.6,,
2007,PRY,,89.1,34.6,,
2008,PRY,,89.1,34.6,,
2009,PRY,,89.1,34.6,,
2010,PRY,,89.1,34.6,,
2011,PRY,,89.1,34.6,,
2012,PRY,,89.1,34.6,,
2013,PRY,,89.1,34.6,,
2014,PRY,,89.1,34.6,,
2015,PRY,,89.1,34.6,,
2016,PRY,,89.1,34.6,,
2017,PRY,,89.1,34.6,,
2018,PRY,,89.1,34.6,,
2019,PRY,,89.1,34.6,,
2020,PRY,,89.1,34.6,,
2021,PRY,,89.1,34.6,,
2022,PRY,,89.1,34.6,,
2023,PRY,,89.1,34.6,,
2024,PRY,,89.1,34.6,,
2025,PRY,,89.1,34.6,,
1990,BGD,,89.1,34.6,,
1991,BGD,,89.1,34.6,,
1992,BGD,,89.1,34.6,,
1993,BGD,,89.1,34.6,,
1994,BGD,,89.1,34.6,,
1995,BGD,,89.1,34.6,,
1996,BGD,,89.1,34.6,,
1997,BGD,,89.1,34.6,,
1998,BGD,,89.1,34.6,,
1999,BGD,,89.1,34.6,,
2000,BGD,,89.1,34.6,,
2001,BGD,,89.1,34.6,,
2002,BGD,,89.1,34.6,,
2003,BGD,,89.1,34.6,,
2004,BGD,,89.1,34.6,,
2005,BGD,,89.1,34.6,,
2006,BGD,,89.1,34.6,,
2007,BGD,,89.1,34.6,,
2008,BGD,,89.1,34.6,,
2009,BGD,,89.1,34.6,,
2010,BGD,,89.1,34.6,,
2011,BGD,,89.1,34.6,,
2012,BGD,,89.1,34.6,,
2013,BGD,1.478,89.1,34.6,,
2014,BGD,2.176,89.1,34.6,,
2015,BGD,2.546,89.1,34.6,,
2016,BGD,1.483,89.1,34.6,,
2017,BGD,1.74,89.1,34.6,,
2018,BGD,1.693,89.1,34.6,,
2019,BGD,1.673,89.1,34.6,,
2020,BGD,1.465,89.1,34.6,,
2021,BGD,1.495,89.1,34.6,,
2022,BGD,1.588,89.1,34.6,,
2023,BGD,,89.1,34.6,,
2024,BGD,1.817,89.1,34.6,,
2025,BGD,1.856,89.1,34.6,,
1990,MYS,2.271,89.1,34.6,,
1991,MYS,1.91,89.1,34.6,,
1992,MYS,1.572,89.1,34.6,,
1993,MYS,,89.1,34.6,,
1994,MYS,1.816,89.1,34.6,,
1995,MYS,1.549,89.1,34.6,,
1996,MYS,1.438,89.1,34.6,,
1997,MYS,1.408,89.1,34.6,,
1998,MYS,,89.1,34.6,,
1999,MYS,,89.1,34.6,,
2000,MYS,,89.1,34.6,,
2001,MYS,2.606,89.1,34.6,,
2002,MYS,,89.1,34.6,,
2003,MYS,2.048,89.1,34.6,,
2004,MYS,2.045,89.1,34.6,,
2005,MYS,,89.1,34.6,,
2006,MYS,,89.1,34.6,,
2007,MYS,,89.1,34.6,,
2008,MYS,,89.1,34.6,,
2009,MYS,,89.1,34.6,,
2010,MYS,1.838,89.1,34.6,,
2011,MYS,1.716,89.1,34.6,,
2012,MYS,1.758,89.1,34.6,,
2013,MYS,8.142,89.1,34.6,,
2014,MYS,3.459,89.1,34.6,,
2015,MYS,3.717,89.1,34.6,,
2016,MYS,7.782,89.1,34.6,,
2017,MYS,1.948,89.1,34.6,,
2018,MYS,3.421,89.1,34.6,,
2019,MYS,2.197,89.1,34.6,,
2020,MYS,7.8,89.1,34.6,,
2021,MYS,1.437,89.1,34.6,,
2022,MYS,1.548,89.1,34.6,,
2023,MYS,3.168,89.1,34.6,,
2024,MYS,4.999,89.1,34.6,,
2025,MYS,2.325,89.1,34.6,,
1990,JPN,4.461,89.1,34.6,,
1991,JPN,4.163,89.1,34.6,,
1992,JPN,8.122,89.1,34.6,,
1993,JPN,3.689,89.1,34.6,,
1994,JPN,1.461,89.1,34.6,,
1995,JPN,3.167,89.1,34.6,,
1996,JPN,5.223,89.1,34.6,,
1997,JPN,3.582,89.1,34.6,,
1998,JPN,2.404,89.1,34.6,,
1999,JPN,2.227,89.1,34.6,,
2000,JPN,2.848,89.1,34.6,,
2001,JPN,6.281,89.1,34.6,,
2002,JPN,4.819,89.1,34.6,,
2003,JPN,4.896,89.1,34.6,,
2004,JPN,5.315,89.1,34.6,,
2005,JPN,3.888,89.1,34.6,,
2006,JPN,3.935,89.1,34.6,,
2007,JPN,2.034,89.1,34.6,,
2008,JPN,3.347,89.1,34.6,,
2009,JPN,1.197,89.1,34.6,,
2010,JPN,8.162,89.1,34.6,,
2011,JPN,8.222,89.1,34.6,,
2012,JPN,8.988,89.1,34.6,,
2013,JPN,5.883,89.1,34.6,,
2014,JPN,4.833,89.1,34.6,,
2015,JPN,8.071,89.1,34.6,,
2016,JPN,2.949,89.1,34.6,,
2017,JPN,6.646,89.1,34.6,,
2018,JPN,3.586,89.1,34.6,,
2019,JPN,2.707,89.1,34.6,,
2020,JPN,10.444,89.1,34.6,,
2021,JPN,3.768,89.1,34.6,,
2022,JPN,3.827,89.1,34.6,,
2023,JPN,5.032,89.1,34.6,,
2024,JPN,3.22,89.1,34.6,,
2025,JPN,2.787,89.1,34.6,,
1990,BRICS,4.908,89.1,34.6,,
1991,BRICS,4.705,89.1,34.6,,
1992,BRICS,7.144,89.1,34.6,,
1993,BRICS,4.051,89.1,34.6,,
1994,BRICS,4.454,89.1,34.6,,
1995,BRICS,7.696,89.1,34.6,,
1996,BRICS,5.676,89.1,34.6,,
1997,BRICS,9.263,89.1,34.6,,
1998,BRICS,12.383,89.1,34.6,,
1999,BRICS,5.733,89.1,34.6,,
2000,BRICS,11.344,89.1,34.6,,
2001,BRICS,2.593,89.1,34.6,,
2002,BRICS,3.824,89.1,34.6,,
2003,BRICS,5.371,89.1,34.6,,
2004,BRICS,9.423,89.1,34.6,,
2005,BRICS,6.336,89.1,34.6,,
2006,BRICS,6.159,89.1,34.6,,
2007,BRICS,9.585,89.1,34.6,,
2008,BRICS,8.197,89.1,34.6,,
2009,BRICS,3.906,89.1,34.6,,
2010,BRICS,12.988,89.1,34.6,,
2011,BRICS,10.225,89.1,34.6,,
2012,BRICS,6.68,89.1,34.6,,
2013,BRICS,7.191,89.1,34.6,,
2014,BRICS,9.021,89.1,34.6,,
2015,BRICS,3.766,89.1,34.6,,
2016,BRICS,6.859,89.1,34.6,,
2017,BRICS,3.754,89.1,34.6,,
2018,BRICS,7.003,89.1,34.6,,
2019,BRICS,5.376,89.1,34.6,,
2020,BRICS,8.242,89.1,34.6,,
2021,BRICS,7.192,89.1,34.6,,
2022,BRICS,5.397,89.1,34.6,,
2023,BRICS,7.267,89.1,34.6,,
2024,BRICS,10.708,89.1,34.6,,
2025,BRICS,5.402,89.1,34.6,,
1990,GHA,3.869,89.1,34.6,,
1991,GHA,10.663,89.1,34.6,,
1992,GHA,7.725,89.1,34.6,,
1993,GHA,4.701,89.1,34.6,,
1994,GHA,2.836,89.1,34.6,,
1995,GHA,5.026,89.1,34.6,,
1996,GHA,8.999,89.1,34.6,,
1997,GHA,6.326,89.1,34.6,,
1998,GHA,5.705,89.1,34.6,,
1999,GHA,3.814,89.1,34.6,,
2000,GHA,3.305,89.1,34.6,,
2001,GHA,8.214,89.1,34.6,,
2002,GHA,4.173,89.1,34.6,,
2003,GHA,1.649,89.1,34.6,,
2004,GHA,4.703,89.1,34.6,,
2005,GHA,5.642,89.1,34.6,,
2006,GHA,2.465,89.1,34.6,,
2007,GHA,6.813,89.1,34.6,,
2008,GHA,3.491,89.1,34.6,,
2009,GHA,4.319,89.1,34.6,,
2010,GHA,5.834,89.1,34.6,,
2011,GHA,2.37,89.1,34.6,,
2012,GHA,2.137,89.1,34.6,,
2013,GHA,2.868,89.1,34.6,,
2014,GHA,9.313,89.1,34.6,,
2015,GHA,5.684,89.1,34.6,,
2016,GHA,4.345,89.1,34.6,,
2017,GHA,7.094,89.1,34.6,,
2018,GHA,7.547,89.1,34.6,,
2019,GHA,3.107,89.1,34.6,,
2020,GHA,3.28,89.1,34.6,,
2021,GHA,9.67,89.1,34.6,,
2022,GHA,4.746,89.1,34.6,,
2023,GHA,2.636,89.1,34.6,,
2024,GHA,7.508,89.1,34.6,,
2025,GHA,7.081,89.1,34.6,,
1990,SSA,5.583,89.1,34.6,,
1991,SSA,8.267,89.1,34.6,,
1992,SSA,2.057,89.1,34.6,,
1993,SSA,3.284,89.1,34.6,,
1994,SSA,6.877,89.1,34.6,,
1995,SSA,2.382,89.1,34.6,,
1996,SSA,3.44,89.1,34.6,,
1997,SSA,3.118,89.1,34.6,,
1998,SSA,7.287,89.1,34.6,,
1999,SSA,3.975,89.1,34.6,,
2000,SSA,2.293,89.1,34.6,,
2001,SSA,6.202,89.1,34.6,,
2002,SSA,3.372,89.1,34.6,,
2003,SSA,4.362,89.1,34.6,,
2004,SSA,5.301,89.1,34.6,,
2005,SSA,8.353,89.1,34.6,,
2006,SSA,3.452,89.1,34.6,,
2007,SSA,6.098,89.1,34.6,,
2008,SSA,1.688,89.1,34.6,,
2009,SSA,5.751,89.1,34.6,,
2010,SSA,3.145,89.1,34.6,,
2011,SSA,3.66,89.1,34.6,,
2012,SSA,4.526,89.1,34.6,,
2013,SSA,11.632,89.1,34.6,,
2014,SSA,4.961,89.1,34.6,,
2015,SSA,3.358,89.1,34.6,,
2016,SSA,1.982,89.1,34.6,,
2017,SSA,2.772,89.1,34.6,,
2018,SSA,3.574,89.1,34.6,,
2019,SSA,4.792,89.1,34.6,,
2020,SSA,3.141,89.1,34.6,,
2021,SSA,1.859,89.1,34.6,,
2022,SSA,1.019,89.1,34.6,,
2023,SSA,4.029,89.1,34.6,,
2024,SSA,2.634,89.1,34.6,,
2025,SSA,8.379,89.1,34.6,,
1990,VNM,4.577,89.1,34.6,,
1991,VNM,3.284,89.1,34.6,,
1992,VNM,3.947,89.1,34.6,,
1993,VNM,2.092,89.1,34.6,,
1994,VNM,8.265,89.1,34.6,,
1995,VNM,4.654,89.1,34.6,,
1996,VNM,3.805,89.1,34.6,,
1997,VNM,4.3,89.1,34.6,,
1998,VNM,2.342,89.1,34.6,,
1999,VNM,5.997,89.1,34.6,,
2000,VNM,4.059,89.1,34.6,,
2001,VNM,7.784,89.1,34.6,,
2002,VNM,9.071,89.1,34.6,,
2003,VNM,9.468,89.1,34.6,,
2004,VNM,6.947,89.1,34.6,,
2005,VNM,2.591,89.1,34.6,,
2006,VNM,4.143,89.1,34.6,,
2007,VNM,4.467,89.1,34.6,,
2008,VNM,2.403,89.1,34.6,,
2009,VNM,4.579,89.1,34.6,,
2010,VNM,3.054,89.1,34.6,,
2011,VNM,9.397,89.1,34.6,,
2012,VNM,6.254,89.1,34.6,,
2013,VNM,13.712,89.1,34.6,,
2014,VNM,10.353,89.1,34.6,,
2015,VNM,7.17,89.1,34.6,,
2016,VNM,4.282,89.1,34.6,,
2017,VNM,3.134,89.1,34.6,,
2018,VNM,5.234,89.1,34.6,,
2019,VNM,5.565,89.1,34.6,,
2020,VNM,1.563,89.1,34.6,,
2021,VNM,5.26,89.1,34.6,,
2022,VNM,5.186,89.1,34.6,,
2023,VNM,6.347,89.1,34.6,,
2024,VNM,8.417,89.1,34.6,,
2025,VNM,7.139,89.1,34.6,,
1990,MYS,4.092,89.1,34.6,,
1991,MYS,6.133,89.1,34.6,,
1992,MYS,6.912,89.1,34.6,,
1993,MYS,10.084,89.1,34.6,,
1994,MYS,5.335,89.1,34.6,,
1995,MYS,6.284,89.1,34.6,,
1996,MYS,6.135,89.1,34.6,,
1997,MYS,1.424,89.1,34.6,,
1998,MYS,3.016,89.1,34.6,,
1999,MYS,1.74,89.1,34.6,,
2000,MYS,4.65,89.1,34.6,,
2001,MYS,8.236,89.1,34.6,,
2002,MYS,4.66,89.1,34.6,,
2003,MYS,5.604,89.1,34.6,,
2004,MYS,13.375,89.1,34.6,,
2005,MYS,2.044,89.1,34.6,,
2006,MYS,4.785,89.1,34.6,,
2007,MYS,9.286,89.1,34.6,,
2008,MYS,5.273,89.1,34.6,,
2009,MYS,4.174,89.1,34.6,,
2010,MYS,5.759,89.1,34.6,,
2011,MYS,7.993,89.1,34.6,,
2012,MYS,11,89.1,34.6,,
2013,MYS,8.98,89.1,34.6,,
2014,MYS,5.002,89.1,34.6,,
2015,MYS,9.086,89.1,34.6,,
2016,MYS,8.066,89.1,34.6,,
2017,MYS,12.967,89.1,34.6,,
2018,MYS,3.4,89.1,34.6,,
2019,MYS,2.091,89.1,34.6,,
2020,MYS,2.933,89.1,34.6,,
2021,MYS,2.323,89.1,34.6,,
2022,MYS,1.699,89.1,34.6,,
2023,MYS,5.258,89.1,34.6,,
2024,MYS,4.969,89.1,34.6,,
2025,MYS,9.839,89.1,34.6,,
1990,ZMB,11.617,89.1,34.6,,
1991,ZMB,4.741,89.1,34.6,,
1992,ZMB,5.06,89.1,34.6,,
1993,ZMB,1.853,89.1,34.6,,
1994,ZMB,5.812,89.1,34.6,,
